name,url,category,screenshot_status,fullshot_status,error
Swatle,swatle.ai,AI Tool / Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Quso AI,quso.ai,AI Tool / Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Rootly,rootly.com,SaaS / DevOps,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Overpass,overpass.com,SaaS / Talent,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Lovo AI,lovo.ai,AI Tool / Voice,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Picflow,picflow.com,SaaS / Creative,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Zeplin,zeplin.io,SaaS / Design,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Dorik,dorik.com,SaaS / Website Builder,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Tiledesk,tiledesk.com,SaaS / AI Chatbot,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Fliki,fliki.ai,AI Tool / Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Affine,affine.pro,SaaS / Editor,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Pretty Progress,prettyprogress.app,Mobile App / Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Kino,shotwithkino.com,SaaS / Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Riley,rileyapp.com,SaaS / Family,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Column,column.com,Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Clipdrop,clipdrop.co,AI Tool / Design,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Triage,triage.cc,Mobile App / Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Samara,samara.com,Real Estate,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Fable & Mane,fableandmane.com,E-commerce / Beauty,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Capital,capital.xyz,Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Traverse,traverse.link,SaaS / Learning,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Crappy Presentations,crappypresentations.com,Design Agency,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Boring Dice,boringdice.app,Mobile App / Fun,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Status,status.app,Crypto / Messenger,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Robbin Forssell,robbinforssell.com,Portfolio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Sefik Mujkic,sefikmujkic.com,Portfolio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
UFO Timeline,ufotimeline.com,Website / Info,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
NotifPay,notifpay.com,SaaS / Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Naoma AI,naoma.ai,AI Tool / SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Plants to the Rescue,plantstotherescue.co,E-commerce / Health,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
HeyEddie,heyeddie.ai,AI Tool / Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Obscura,obscura.net,Software,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
After Party Studio,afterparty.studio,Creative Agency,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
NextUpKit,nextupkit.com,Web App / Dev,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Directify,directify.app,SaaS / Website Builder,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
NumeralHQ,numeralhq.com,SaaS / Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
MyWebSEO,mywebseo.ai,SEO Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Sahha,sahha.ai,API / Health,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Skarbe,skarbe.com,AI Tool / Sales,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Produktly,produktly.com,SaaS / Product,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Zencoder AI,zencoder.ai,AI Tool / Dev,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Wisprflow,wisprflow.ai,AI Tool / Writing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
BrowserAgent,browseragent.dev,AI Tool / Browser,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Embra,embra.ai,AI Tool / Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
AnswerHQ,answerhq.co,AI Tool / Support,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
n8n,n8n.io,SaaS / Automation,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Tella,tella.com,SaaS / Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Glean,glean.com,AI Tool / Work,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Lens Protocol,lens.xyz,Web3 / SocialFi,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Paragon,useparagon.com,SaaS / Dev Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Laws of UX,lawsofux.com,Website / Design,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
OrbitXPay,orbitxpay.com,Web3 / Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
StoryBlocker,storyblocker.com,AI Tool / AR,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Litur,litur.app,Mobile App / Design,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Madison Reed,madison-reed.com,E-commerce / Beauty,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Moment,shopmoment.com,E-commerce / Photography,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
LogoAI,logoai.com,AI Tool / Design,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Hyperplex,hyperplex.xyz,Web3 / Finance,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Scandiboom,scandiboom.com,E-commerce / Art,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Allbirds,allbirds.com,E-commerce / Fashion,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Rush & Danit,rushanddanit.com,Website / Portfolio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Airtable,airtable.com,SaaS / AI Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
join.rileyapp.com,https://join.rileyapp.com,SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
cookiejar.co,https://cookiejar.co,Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
hoox.co,https://hoox.co,SaaS/Developer Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
get.gems.so/ph,https://get.gems.so/ph,SaaS/Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
alignable.com,https://alignable.com,SaaS/Networking,success,failed - fallback generated,"Full capture failed, generated fallback"
miandu.design,https://miandu.design,Design Agency,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
get.marble.app,https://get.marble.app,Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
variablefontcourse.com,https://variablefontcourse.com,Education,failed - fallback generated,success,"Capture failed, generated fallback"
membership.callbruno.com,https://membership.callbruno.com,SaaS/E-Commerce,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
starlight.money,https://starlight.money,Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
fable.app,https://fable.app,SaaS/Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
winden.co,https://winden.co,Developer Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
afterlifeco.in,https://afterlifeco.in,SaaS/Legal Tech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
framessystem.com,https://framessystem.com,E-Commerce/Furniture,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
tattooidea.art,https://tattooidea.art,AI Tool/Art,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
nbundle.com,https://nbundle.com,Marketplace,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
en.order.link,https://en.order.link,SaaS/Restaurant Tech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
buildwithflow.io,https://buildwithflow.io,SaaS/No-Code,success,failed - fallback generated,"Full capture failed, generated fallback"
landingfolio.com/fixcolab.com,https://landingfolio.com/fixcolab.com,Design Resource,failed - fallback generated,success,"Capture failed, generated fallback"
burb.co,https://burb.co,SaaS/Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
upword.ai,https://upword.ai,AI Tool/Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
tara.ai,https://tara.ai,SaaS/Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
verify.as,https://verify.as,SaaS/Security,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
pfpid.xyz,https://pfpid.xyz,Web3/NFT,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
designup.net,https://designup.net,Events/Education,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
theweirdosnft.com,https://theweirdosnft.com,Web3/NFT,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
theindifferentduck.com,https://theindifferentduck.com,Web3/NFT,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
rareblocks.xyz/kits/619dee4db8fec9f1284342fa,https://rareblocks.xyz/kits/619dee4db8fec9f1284342fa,Design Tool/Developer Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
tailory.io,https://tailory.io,Design Tool/Developer Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
usemooze.com,https://usemooze.com,SaaS/CMS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
designwiz.co,https://designwiz.co,Design Service,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
landingpage.fyi/landing-page-checklist.html,https://landingpage.fyi/landing-page-checklist.html,Resource/Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
savvycal.com,https://savvycal.com,SaaS/Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
dashcom-ui.com,https://dashcom-ui.com,Design Tool/Template,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
facet.ai,https://facet.ai,AI Tool/Design,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
usestir.com,https://usestir.com,SaaS/Analytics,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
kiff.app,https://kiff.app,Productivity/Wellness,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
swell.is,https://swell.is,SaaS/Content,success,failed - fallback generated,"Full capture failed, generated fallback"
framer.com/volt,https://framer.com/volt,Design Tool/SaaS,failed - fallback generated,success,"Capture failed, generated fallback"
togeto.io,https://togeto.io,Productivity/Wellness,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
reach.live,https://reach.live,SaaS/Content,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
playgroup.community,https://playgroup.community,Social Network/Community,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
kukla-kit.com,https://kukla-kit.com,Design Tool/Template,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
betterlance.co,https://betterlance.co,Marketplace/HR Tech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
brainfoodapp.co,https://brainfoodapp.co,Education/Content,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
resound.ly,https://resound.ly,SaaS/Content,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
howtoproduct.io,https://howtoproduct.io,Education,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
imagespeedtest.piio.co,https://imagespeedtest.piio.co,Developer Tool/SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
klokki.com,https://klokki.com,Productivity/SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
usesafewatch.com,https://usesafewatch.com,SaaS/Developer Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
inspireframe.io,https://inspireframe.io,Design Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
shop.app,https://shop.app,E-Commerce/App,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
voyagerliving.co,https://voyagerliving.co,Content/Blog,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
syedbalkhi.com,https://syedbalkhi.com,Content/Blog,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
coronaaah.com,https://coronaaah.com,Health/Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
pragli.com,https://pragli.com,SaaS/Communication,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
10xfactory.com,https://10xfactory.com,Marketing Agency,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
popkit.club,https://popkit.club,Design Resource,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
getmatcha.com,https://getmatcha.com,SaaS/Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
zenefits.com,https://zenefits.com,HR Tech/SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
consider.co/conversations,https://consider.co/conversations,AI Tool/SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
qwilr.com/document-generator,https://qwilr.com/document-generator,SaaS/Marketing,failed - fallback generated,success,"Capture failed, generated fallback"
northapp.co,https://northapp.co,Sustainability/App,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
woven.com,https://woven.com,Productivity/SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
evercoin.com/home,https://evercoin.com/home,Fintech/Crypto,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
billisimo.co,https://billisimo.co,Fintech/SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
landingkit.com/startup,https://landingkit.com/startup,Template/Resource,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
keigo.app,https://keigo.app,Education/App,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
coolors.co,https://coolors.co,Design Tool,failed - fallback generated,success,"Capture failed, generated fallback"
morphio.ai,https://morphio.ai,AI Tool/Analytics,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
houseparty.com,https://houseparty.com,Social Network/Communication,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
revstack.ai,https://revstack.ai,AI Tool/SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
numeracy.co/welcome,https://numeracy.co/welcome,Education/Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
usedetails.com,https://usedetails.com,SaaS/Design Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
breaksforeyes.app,https://breaksforeyes.app,Health/Wellness App,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
redpen.io,https://redpen.io,SaaS/Design Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
hull.io,https://hull.io,SaaS/Analytics,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
simpleanalytics.io,https://simpleanalytics.io,SaaS/Analytics,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
growthmentor.io,https://growthmentor.io,Education/Marketplace,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
crazybaby.com,https://crazybaby.com,E-Commerce/Electronics,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
en.eagle.cool,https://en.eagle.cool,Productivity/SaaS,failed - fallback generated,success,"Capture failed, generated fallback"
tilda.cc/free-icons,https://tilda.cc/free-icons,Design Resource,success,failed - fallback generated,"Full capture failed, generated fallback"
taabcard.com,https://taabcard.com,SaaS/Networking,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
ambassadorwatches.com,https://ambassadorwatches.com,E-Commerce/Luxury,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
dealwithgrowth.com,https://dealwithgrowth.com,Marketing Agency,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
closekit.co,https://closekit.co,SaaS/CRM,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
status.im,https://status.im,Communication/Crypto,failed - fallback generated,success,"Capture failed, generated fallback"
fiftythree.com/paste,https://fiftythree.com/paste,SaaS/Design Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
dropsource.com,https://dropsource.com,SaaS/No-Code,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
plantapp.io,https://plantapp.io,Education/App,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
draftsend.com,https://draftsend.com,Productivity/Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
sticky-ai.com,https://sticky-ai.com,AI Tool/Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
omniconvert.com,https://omniconvert.com,SaaS/Marketing,failed - fallback generated,success,"Capture failed, generated fallback"
dawnlabs.io/alchemy,https://dawnlabs.io/alchemy,Developer Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
kin.kik.com,https://kin.kik.com,Fintech/Crypto,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
getcraftwork.com/hero-iphone-7-plus,https://getcraftwork.com/hero-iphone-7-plus,Design Resource,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
mypickwish.com,https://mypickwish.com,E-Commerce/App,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
oureventapp.com,https://oureventapp.com,SaaS/Events,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
chec.io,https://chec.io,SaaS/E-Commerce,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
skore.io,https://skore.io,SaaS/Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
mercury.postlight.com/reader,https://mercury.postlight.com/reader,Productivity/Extension,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
ofcoursebooks.com,https://ofcoursebooks.com,Education/SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
conversionskit.com,https://conversionskit.com,SaaS/Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
flinto.com/mac,https://flinto.com/mac,Design Tool/Software,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
heek.com,https://heek.com,AI Tool/No-Code,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
videolicious.com,https://videolicious.com,SaaS/Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
oivo.pw,https://oivo.pw,Security/Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
billdogg.com,https://billdogg.com,Fintech/App,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
bear-app.net,https://bear-app.net,Productivity/App,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
salesmachine.io,https://salesmachine.io,SaaS/CX,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
usepowwow.com,https://usepowwow.com,SaaS/Communication,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
frrand.com,https://frrand.com,Developer Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
floppi.com,https://floppi.com,SaaS/Design Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
getrevue.co,https://getrevue.co,SaaS/Content,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
boom.aero,https://boom.aero,Aerospace/Transportation,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
neonmob.com,https://neonmob.com,Entertainment/Marketplace,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
sendwithscout.com,https://sendwithscout.com,SaaS/Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
semplicelabs.com,https://semplicelabs.com,Design Agency,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
launch.blendle.com,https://launch.blendle.com,Media/Content,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
opbeat.com,https://opbeat.com,SaaS/Developer Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
getfreebird.com,https://getfreebird.com,Travel/Service,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
pagelanes.com,https://pagelanes.com,SaaS/Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
bubble.is,https://bubble.is,SaaS/No-Code,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
mocktotype.com,https://mocktotype.com,Design Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
contentmarketer.io/try,https://contentmarketer.io/try,SaaS/Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
